Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	peroo	valprm	lnvalprm	ct4_ooval	rentprm	lnrentprm	perblack	av_rooms_oo	av_value	av_rooms_rt	av_rent	ct2_occ
39	113	Dayton	0055	daytonoh	67	411	2			1	58	0	0.26	0	0.916666667	0.708333333	11764.70588	9.372859301	17	106.88	4.671690868	0	5.2	15600	4.2	101	24
39	113	Dayton	0055	daytonoh	67	412	2			1	66	0	0.15	0	0.857142857	0.821428571	10884.35374	9.2950816	23	.	.	0	4.9	13600	4.2	0	28
39	113	Dayton	0055	daytonoh	67	413	4			1	58	0	0.21	0.043478261	1	1	13466.51868	9.507961786	23	.	.	0	5.3	18200	0	0	23
39	113	Dayton	0055	daytonoh	67	414	4			1	39	0	0.18	0	1	1	12645.05802	9.445021748	15	.	.	0	4.9	15800	0	0	15
39	113	Dayton	0055	daytonoh	67	415	5			1	50	0	0.44	0	0.833333333	0.916666667	11764.70588	9.372859301	11	.	.	0	5.8	17400	0	0	12
39	113	Dayton	0055	daytonoh	67	416	5			1	65	0	0.31	0	1	0.909090909	11764.70588	9.372859301	20	.	.	0	5.6	16800	0	0	22
39	113	Dayton	0055	daytonoh	67	417	7	Y		1	52	0	0.19	0.038461538	0.692307692	0.653846154	11303.34487	9.332853967	17	115.32	4.747670249	0	5.1	14700	3.7	96	26
39	113	Dayton	0055	daytonoh	67	502	7	Y		1	72	0	0.11	0	0.818181818	0.787878788	11990.95023	9.391907496	26	112.59	4.723775928	0	5.2	15900	3	76	33
39	113	Dayton	0055	daytonoh	67	503	6			1	142	0	0.2	0.017241379	0.706896552	0.534482759	11921.56863	9.386104528	31	116.05	4.754015814	0	5	15200	3.6	94	58
39	113	Dayton	0055	daytonoh	67	504	5			1	72	0	0.22	0	0.8	0.733333333	12164.86595	9.406307236	22	109.40	4.695026515	0	4.9	15200	3.9	96	30
