"pid","year","p.sec","p.gvn","pname"
140000,1998,"胡富国","孙文盛","山西省"
630000,1998,"田成平","白恩培","青海省"
150000,1998,"刘明祖","云布龙","内蒙古自治区"
220000,1998,"张德江","王云坤","吉林省"
330000,1998,"李泽民","柴松岳","浙江省"
450000,1998,"曹伯纯","李兆焯","广西壮族自治区"
460000,1998,"阮崇武","阮崇武","海南省"
540000,1998,"陈奎元","江村罗布","西藏自治区"
640000,1998,"毛如柏","马启智","宁夏回族自治区"
370000,1999,"吴官正","李春亭","山东省"
520000,1999,"刘方仁","钱运录","贵州省"
410000,1999,"马忠臣","李克强","河南省"
340000,1999,"回良玉","王太华","安徽省"
110000,1999,"贾庆林","贾庆林","北京市"
130000,1999,"叶连松","钮茂生","河北省"
610000,1999,"李建国(山东省)","程安东","陕西省"
310000,1999,"黄菊","徐匡迪","上海市"
620000,1999,"孙英","宋照肃","甘肃省"
320000,1999,"陈焕友","季允石","江苏省"
420000,1999,"贾志杰","蒋祝平","湖北省"
360000,1999,"舒惠国","舒圣佑","江西省"
350000,1999,"陈明义","贺国强","福建省"
440000,1999,"李长春","卢瑞华","广东省"
120000,1999,"张立昌","李盛霖","天津市"
650000,1999,"王乐泉","阿不来提·阿不都热西提","新疆维吾尔自治区"
430000,1999,"杨正午","储波","湖南省"
500000,1999,"张德邻","蒲海清","重庆市"
230000,1999,"徐有芳","田凤山","黑龙江省"
530000,1999,"令狐安","李嘉廷","云南省"
210000,1999,"闻世震","张国光","辽宁省"
510000,1999,"谢世杰","宋宝瑞","四川省"
140000,1999,"胡富国","孙文盛","山西省"
630000,1999,"田成平","白恩培","青海省"
150000,1999,"刘明祖","云布龙","内蒙古自治区"
220000,1999,"王云坤","洪虎","吉林省"
330000,1999,"张德江","柴松岳","浙江省"
450000,1999,"曹伯纯","李兆焯","广西壮族自治区"
460000,1999,"杜青林","汪啸风","海南省"
540000,1999,"陈奎元","列确","西藏自治区"
640000,1999,"毛如柏","马启智","宁夏回族自治区"
370000,2000,"吴官正","李春亭","山东省"
520000,2000,"刘方仁","钱运录","贵州省"
410000,2000,"马忠臣","李克强","河南省"
340000,2000,"王太华","许仲林","安徽省"
110000,2000,"贾庆林","刘淇","北京市"
130000,2000,"叶连松","钮茂生","河北省"
