"pid","year","p.sec","p.gvn","pname"
650000,2013,"张春贤","努尔·白克力","新疆维吾尔自治区"
430000,2013,"周强","徐守盛","湖南省"
500000,2013,"孙政才","黄奇帆","重庆市"
230000,2013,"吉炳轩","王宪魁","黑龙江省"
530000,2013,"秦光荣","李纪恒","云南省"
210000,2013,"王珉","陈政高","辽宁省"
510000,2013,"王东明","魏宏","四川省"
140000,2013,"袁纯清","李小鹏","山西省"
630000,2013,"强卫","骆惠宁","青海省"
150000,2013,"王君","巴特尔","内蒙古自治区"
220000,2013,"王儒林","巴音朝鲁","吉林省"
330000,2013,"夏宝龙","李强(浙江省)","浙江省"
450000,2013,"彭清华","马飚","广西壮族自治区"
460000,2013,"罗保铭","蒋定之","海南省"
540000,2013,"陈全国","洛桑江村","西藏自治区"
640000,2013,"张毅","王正伟","宁夏回族自治区"
