"distid","distname","regcommand","fraudchi2_total","est_fraud_share","fraudchi2_k","fraudchi2_a","v.elday.pc","v.elday.pc.2","v.2months.pc","v.2months.pc.2","v.elday.pc.lag","numclosedstations","electrified","pce_1000_07","distkabul","elevation"
101,"Kabul",4,0,0.0476121008396149,0,0,0.00423106808584986,1.79019371470972e-05,0.0139376360475054,0.000194257698592723,0.0104721195269011,45,0.943452417850494,10.3927898406982,2.50803653962131,1853.21411132812
102,"Dih Sabz",4,0,0.1240449026227,0,0,0.0312314563228083,0.000975403864043485,0.312314563228083,0.0975403864043485,0.0219709416823321,6,0.375,6.55993700027466,19.5805577370614,1937.54919433594
103,"Mir Bacha Kot",4,0,0.0796165019273758,0,1,0,0,0.012518621449406,0.000156715882993528,0.00451581438196564,0,0.458333313465118,13.3307600021362,22.1777979916228,1756.2900390625
104,"Kalakan",4,0,0,0,0,0.0180632575278626,0.000326281272517884,0.0180632575278626,0.000326281272517884,0.00650429155691003,2,0,6.97903299331665,26.1095122028535,1656.6533203125
105,"Qarabagh",4,0,0.0870810002088547,0,0,0.00779429301865174,6.07510036606033e-05,0.00779429301865174,6.07510036606033e-05,0.00933532313844788,10,0.416666686534882,8.07310485839844,34.5750992068082,1640.05090332031
106,"Istalif",4,0,0,0,0,0,0,0.0187624301099478,0.000352028783630677,0.0043095917577524,5,0.5,5.83125591278076,37.372861094899,2500
107,"Shakardara",4,0,0,0,1,0,0,0.0324205157023364,0.00105108983840544,0.00764654027664583,3,0.474999994039536,13.4843702316284,18.770692357729,2291.26318359375
108,"Paghman",4,0,0,0,0,0,0,0.0663799054750146,0.00440629185087187,0.0738249518843608,10,0.555555582046509,5.7823371887207,21.1087032465402,2563.65209960938
109,"Chahar Asyab",4,0,0.0163770001381636,0,1,0,0,0.10198046054376,0.0104000143327174,0.0678604034703918,3,0.28125,4.00667905807495,18.4816987964305,2174.44506835938
110,"Bagrami",4,0,0.0225184001028538,0,0,0.0211291413116971,0.000446440612569665,0.169033130493577,0.0285721992044585,0.046957663167845,0,0.484375,5.03567886352539,16.549625998285,1989.90588378906
111,"Khaki Jabbar",4,0,0.0758514031767845,0,0,0.0677254410619349,0.00458673536703362,0.101588161592902,0.0103201545758256,0.0404729031263783,1,0,1.48834097385406,30.8427438858212,2492.455078125
112,"Surobi",4,1,0.148107394576073,0,1,0.102578831832263,0.0105224167400717,0.410315327329052,0.168358667841147,0.0351470156341744,4,0.430555611848831,3.96443605422974,48.4863464918596,1834.22900390625
113,"Guldara",4,0,0,0,0,0,0,0,0,0,1,0.125,8.39784526824951,28.6256103235659,2491.63989257812
114,"Musayi",4,0,0,0,1,0.075979181704213,0.00577283605244182,0.87376058959845,0.763457567935431,0.0265161272648361,4,NA,NA,18.8525031066171,1970.1943359375
115,"Farza",4,0,0,1,0,0,0,0,0,0.00301054292131044,1,0.375,10.6088104248047,32.4010388317315,2557.55200195312
201,"Mahmudi Raqi",4,0,0.0238211993128061,0,0,0.019960279044701,0.000398412739542332,0.0299404185670516,0.000896428663970246,0.00253398496540637,1,0.25,4.7825927734375,57.5491179454551,1575.09497070312
202,"Hisa-i-Awali Kohistan",4,0,0.111847102642059,0,0,0,0,0.0434669216726071,0.00188937327969256,0,0,0.416666686534882,2.66381096839905,69.1556301980332,1904.08996582031
203,"Koh Band",4,0,0.313277006149292,0,0,0,0,0,0,0.00431882981528612,3,0.5,4.15567684173584,69.5857932612665,2566.64453125
204,"Nijrab",4,0,0.0543936006724834,0,0,0.00595269984701561,3.54346354686597e-05,0.0535742986231405,0.00287020547296144,0.0240991057182009,9,0.416666686534882,3.21071910858154,70.8974878274979,2601.52758789062
