Name	State	State_text	Jurcode	Noelectronic	Poptot	Popbl	Per_span	Pop_spanlan	Per_ed5	Per_edhs	Per_edcol	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	Meded	Famtot	Fam1000	Fam1999	Fam2999	Fam2999a	Fam3999	Fam4999	Fam4999a	Fam5999	Fam6999	Fam6999a	Fam7999	Fam8999	Fam9999	Fam9999a	Fam11999	Fam14999	Fam14999a	Fam24999	Fam24999a	Fam49999	Fam25000	Fam50000	Fammedinc	Perpov	expgen_ce	exped_ce	exphig_ce	Sh_polfire	exppol	expfire	expsew_ce	expsan	exppark
YOUNGSTOWN	39	OH	youngsoh	0	139702	35307	0.006	.	0.034	0.556	0.114	.	.	.	.	.	12.2	35424	904	1399	12	.	1701	9.2	.	1776	10.4	.	3131	3199	26.2	.	5256	28	.	11.8	.	785	2.5	.	9077	0.111	17592	.	2284	24.6	3676	3131	1228	717	857
PORTLAND	41	OR	portlaor	0	381877	21506	0.017	.	0.027	0.604	0.124	.	.	.	.	.	12.3	96921	1801	2450	8.9	.	4575	9.8	.	5260	11.4	.	6413	7250	21.5	.	12991	28.1	.	15.7	.	3569	4.7	.	9789	0.081	62861	.	4403	26.8	13416	10053	3577	2060	7888
ALLENTOWN	42	PA	allentpa	0	109521	1989	0.041	.	0.045	0.491	0.112	.	.	.	.	.	11.9	28799	392	597	6.6	.	1309	9.5	.	1486	11.7	.	2303	2463	25.3	.	4323	30.5	.	13.1	.	749	3.3	.	9649	0.061	12853	.	1230	23.1	2020	1634	1232	860	1162
BETHLEHEM	42	PA	bethlepa	0	72731	1390	.	.	0.051	0.467	0.063	.	.	.	.	.	11.5	18693	240	357	6.4		674	7.7	.	921	11.6	.	1204	1541	22.8	.	2735	31	.	16.2	.	647	4.5	.	10217	0.057	9325	.	862	24.7	1500	1195	377	91	795
SCRANTON	42	PA	scrantpa	0	103494	770	0.007	.	0.033	0.463	0.073	.	.	.	.	.	11.5	27142	531	722	8.8	.	1410	11.5	.	2118	17.7	.	2640	2336	26.5	.	3342	23.3	.	9.5	.	636	2.7	.	8271	0.082	12766	.	399	18.8	1840	2333	2457	807	457
MADISON	55	WI	madisowi	0	173242	2449	0.01	.	0.019	0.752	0.282	.	.	.	.	.	12.8	37626	594	536	5.7	.	1388	7.4	.	1720	9.2	.	1917	2211	17.8	.	5392	31.6	.	21.9	.	2102	6.4		11385	0.053	69877	7744	1085	11.1	5419	1123	2537	6319	3132
CLOVIS	6	CA	clovisca	1	13856	83	.	2186	.	.	.	7026	100	815	2119	647	12.15	3587	60	69	.	200	175	.	170	252	.	205	271	380	.	290	628	.	422	.	417	48	.	.	9040	0.094	1508	.	160	.	277	165	310	124	28
COLTON	6	CA	coltonca	1	19974	237	.	9911	.	.	.	9715	332	1179	2823	497	11.4	4963	211	188	.	279	334	.	380	264	.	303	397	356		449	657	.	637	.	416	92	.	12	8369	0.154	2810	.	283	.	601	457	108	189	229
BLOOMFIELD	9	CT	bloomfct	1	18301	2450	.	63	.	.	.	10734	132	943	3645	2135	12.55	4641	46	54	.	66	80	.	60	74	.	128	133	235	.	226	727	.	858	.	1564	390	.	118	13925	0.035	8011	5421	409	.	629	.	.	172	187
WEST HARTFORD	9	CT	wesharct	1	68031	263	.	40	.	.	.	9675	98	1270	3676	960	12.25	17457	116	158	.	215	367	.	366	442	.	473	619	667	.	737	1812	.	2963	.	5502	3020	.	909	15451	.	27072	15617	1437	.	1703	1452	340	1953	922
WETHERSFIELD	9	CT	wetherct	1	26662	105	.	105	.	.	.	16458	191	1539	6226	2802	12.5	7323	61	90	.	58	98	.	161	128	.	220	290	289		357	914	.	1381	.	2608	668	.	87	14257	0.024	9546	6240	638	.	69	126	.	424	177
LAWRENCE	18	IN	lawrenin	1	16646	79	.	161	.	.	.	7918	32	781	3251	668	12.25	4544	77	37	.	68	107	.	137	154	.	260	345	332	.	379	804	.	806	.	948	90	.	10	10948	0.038	689	.	99	.	236	78	120	.	33
URBANDALE	19	IA	urbandia	1	14434	39	.	42	.	.	.	7097	23	841	2344	632	12.35	3578	19	44	.	38	15	.	66	83	.	78	125	209	.	282	494	.	834	.	1025	266	.	12	13230	0.022	806	.	220	.	258	.	38	36	69
WEST DES MOINES	19	IA	wesdesia	1	16441	147	.	161	.	.	.	8680	43	563	3438	1900	12.8	4158	59	60	.	72	113	.	108	118	.	151	137	207	.	191	537	.	720	.	1338	347	.	24	13408	0.049	956	.	140	.	.	.	105	17	103
EAST GRAND RAPIDS	26	MI	easgrami	1	12565	22	.	47	.	.	.	6760	13	240	1542	2753	15.1	2916	42	32	.	21	22	.	63	74	.	69	94	93	.	90	325	.	383	.	893	715	.	360	18695	0.031	1519	.	187	.	254	189	202	141	118
KENTWOOD	26	MI	kentwomi	1	20310	255	.	77	.	.	.	9739	58	957	3607	1120	12.35	5024	48	51	.	100	78	.	102	148	.	159	320	316	.	468	937	.	990	.	1160	147	.	20	11562	0.032	1645	.	510	.	245	66	140	.	62
WALKER	26	MI	walkermi	1	11492	8	.	127	.	.	.	5912	41	834	2267	377	12.1	2888	9	22	.	36	46	.	82	87	.	144	177	232	.	256	512	.	654	.	561	70	.	.	11379	0.029	772	.	237	.	173	52	.	.	12
BEXLEY	39	OH	bexleyoh	1	14888	101	.	5	.	.	.	8343	72	462	2642	2784	13.4	3517	22	28	.	49	62	.	104	127	.	119	177	166	.	193	360	.	553	.	980	577	.	178	14390	0.019	1180	.	133	.	249	212	156	125	144
CAMPBELL	39	OH	campbeoh	1	12577	1255	.	526	.	.	.	7225	338	884	2141	401	11.85	3210	79	93	.	136	141	.	87	114	.	202	290	311	.	245	464	.	403	.	572	73	.	3	9627	0.087	1073	.	159	.	217	109	73	90	50
GRANDVIEW HEIGHTS	39	OH	graheioh	1	8460	1	.	.	.	.	.	4909	50	265	1776	1160	12.7	2268	16	41	.	55	53	.	56	69	.	111	180	157	.	208	341	.	398	.	494	89	.	37	11211	0.039	.	.	.		.	.	.	.	.
NORTH CANTON	39	OH	norcanoh	1	15228	6	.	13	.	.	.	8316	32	627	3457	1650	12.65	4033	23	35	.	69	78	.	87	71	.	157	199	329	.	251	585	.	810	.	1071	268	.	53	12589	0.022	1232	.	288	.	248	46	211	73	482
STRUTHERS	39	OH	struthoh	1	15343	558	.	27	.	.	.	18424	493	2585	6058	1302	11.85	4071	57	60	.	118	145	.	165	169	.	239	302	395	.	348	767	.	677	.	550	79	.	11	10112	0.051	921	.	104	.	203	134	119	40	57
TALLMADGE	39	OH	tallmaoh	1	15274	17	.	29	.	.	.	8071	44	703	3364	1031	12.35	3924	20	22	.	51	56	.	68	79	.	106	129	211	.	281	647	.	963	.	1139	152	.	9	12924	0.019	1063	.	257	.	194	56	135	.	35
WORTHINGTON	39	OH	worthioh	1	15326	214	.	96		.	.	8022	11	221	2356	3256	14.6	3866	19	11	.	53	35	.	77	80	.	86	172	129	.	193	371	.	785	.	1407	448	.	25	14750	0.022	938	.	153	.	323	.	18	118	40
MILWAUKIE	41	OR	milwauor	1	16379	15	.	153	.	.	.	8950	72	776	3605	1128	12.45	4497	43	32	.	82	131	.	174	192	.	259	310	346	.	331	731	.	738	.	971	157	.	15	10974	0.035	1640	.	211	.	330	409	29	.	15
DUNMORE	42	PA	dunmorpa	1	17300	11	.	28	.	.	.	10565	182	1113	2235	213	10.4	4550	70	91	.	138	230	.	263	328	.	382	468	438	.	370	627	.	549	.	509	87	.	8	8705	0.07	876	.	140	.	185	174	.	154	6
EMMAUS	42	PA	emmauspa	1	11511	7	.	28	.	.	.	6815	45	1050	2307	739	12.1	3107	37	34	.	85	68	.	54	118	.	215	244	272	.	230	397	.	647	.	582	124	.	44	11101	0.036	882	.	184	.	116	41	78	80	66
MONONA	55	WI	mononawi	1	10420	11	.	.	.	.	.	5493	.	504	2307	1202	12.7	2669	17	50	.	65	49	.	88	96	.	61	77	172	.	180	392	.	551	.	711	160	.	26	12547	0.038	930	.	15	.	161	40	123	182	97
																																											 								
