Name	County	State	jurcode	SMSA	no electronic	poptot	popbl	pop_spanlan	popfb	pop2g	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	meded	famtot	fam1000	fam1999	fam2999	fam3999	fam4999a	fam5999	fam6999a	fam7999	fam8999	fam9999a	fam11999	fam14999a	fam24999a	fam49999	fam50000	fammedinc	fambelowpov	proptax	expgen_ce	exped_ce	exphig_ce	exppol	expsew_ce	expsan	exppark	expint	AMR_1quart	AMR_Med	AMR_3quart
Santa Clara	Santa Clara	CA	sanclaca	San Jose	N	.	.	12690	.	15071	.	.	.	.	.	.	.	255	356	.	556	.	784	.	1000	1238	.	2913	.	.	777	.	.	.	.	7099	0	384	1095	321	731	1004	629	19.4	21.1	22.8
Santa Monica	Los Angeles	CA	santamca	Los Angeles	N	.	.	9745	.	17140	.	.	.	.	.	.	.	420	594	.	870	.	1222	.	1347	1440	.	2587	.	.	1557	.	.	.	.	10877	0	895	2103	163	772	1553	661	16.4	18.6	21.3
Skokie	Cook	IL	skokieil	Chicago	N	.	107	974	.	23254	.	.	.	.	.	.	.	180	99	.	64	.	99	.	517	610	.	2010	.	.	3062	.	.	.	.	4104	0	375	1126	0	364	0	74	31.5	36.6	42.1
Somerville	Middlesex	MA	somervma	Boston	N	.	.	701	.	25376	.	.	.	.	.	.	.	392	418	.	956	.	1314	.	1648	1952	.	3203	.	.	451	.	.	.	.	23325	7147	650	1265	262	897	476	332	.	39.3	.
St. Louis	St. Louis City	MO	sailoumo	St. Louis	N	.	.	5946	.	48506	.	.	.	.	.	.	.	5412	6476	.	9529	.	10473	.	11932	11872	.	17760	.	.	2733	.	.	.	.	100349	167	3690	24633	115	3093	9729	3714	30	34.6	43.7
St. Paul	Ramsey	MN	stpaulmn	Minneapolis-St. Paul	N	.	.	6512	.	55601	.	.	.	.	.	.	.	1254	1406	.	3094	.	3218	.	4625	5422	.	11345	.	.	2834	.	.	.	.	36932	1576	2628	4382	4504	1548	3018	2293	6.4	7.7	9.3
Stowe Township	Alleghany	PA	stowepa	Pittsburgh	Y	10119	33	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	205	323	0	73	78	23	62	6	9	.	41.5	.
Swissvale	Alleghany	PA	swissvpa	Pittsburgh	Y	13821	567	44	763	3595	8463	140	229	3249	511	12.05	3816	75	72	112	158	246	200	218	361	434	308	603	494	441	83	11	9104	211	362									.	41.5	.
Torrance	Los Angeles	CA	torranca	Los Angeles	N	.	199	9979	.	20675	.	.	.	.	.	.	.	336	399	.	617	.	916	.	1200	1631	.	4746	.	.	2241	.	.	.	.	10230	0	1100	2614	76	703	1411	24	15.2	19.4	20.1
Turtle Creek	Alleghany	PA	turcrepa	Pittsburgh	Y	8308	15	.	399	.	5061	70	189	1952	135	11.4	2357	38	32	61	85	124	141	157	245	215	264	413	354	203	25	0	9305	132	333	421	0	72	125	0	45	3	7	.	41.5	.
Union City	Hudson	NJ	unicitnj	New York City	N	.	.	23151	.	13456	.	.	.	.	.	.	.	509	483	.	626	.	936	.	1211	1414	.	2070	.	.	258	.	.	.	.	9849	4966	343	885	253	599	223	158	.	24	.
University City	St. Louis County	MO	unicitmo	St. Louis	N	.	.	638	.	9132	.	.	.	.	.	.	.	110	156	.	557	.	539	.	654	718	.	1539	.	.	1059	.	.	.	.	3187	0	289	601	0	291	455	187	.	31.7	.
Wall	Alleghany	PA	wallpa	Pittsburgh	Y	1265	32	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	41.5	.
West Homestead	Alleghany	PA	weshompa	Pittsburgh	Y	3789	109	.	205	.	2268	41	39	846	101	11.7	1032	31	19	15	40	34	50	90	53	92	131	173	134	122	41	7	9702	67	.	.	.	.	.	.	.	.	.	.	41.5	.
Whitaker	Alleghany	PA	whitakpa	Pittsburgh	Y	1697	7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	41.5	.
Wilkinsburg	Alleghany	PA	wilkinpa	Pittsburgh	N	.	.	224	.	4192	.	.	.	.	.	.	.	156	160	.	338	.	445	.	610	523	.	973	.	.	187	.	.	.	.	1366	0	183	328	23	186	33	32	.	41.5	.
Wilmerding	Alleghany	PA	wilmerpa	Pittsburgh	Y	3218	94	.	190	.	2099	79	79	697	64	10.8	895	24	36	17	42	77	53	89	82	73	84	124	98	91	5	0	8377	88	.	.	.	.	.	.	.	.	.	.	41.5	.
Wyoming	Hamilton	OH	wyominoh	Cincinnati	Y	9089	812	.	235	.	5177	33	58	1058	2295	14.9	2330	45	29	31	5	64	43	36	62	67	83	187	271	695	604	108	18482	93	.	.	.	.	.	.	.	.	.	37.8	45.5	51.5
Yonkers 	Westchester	NY	yonkerny	New York City	N	.	.	7232	.	63113	.	.	.	.	.	.	.	1040	966	.	1467	.	1919	.	2835	3144	.	7580	.	.	4257	.	.	.	.	45196	21950	642	4739	348	1859	1512	1770	39.8	44.2	57.3
